tconst,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,Adult,Animation,Fantasy,Game-Show,History,Music,Musical,News,Reality-TV,Sci-Fi,Short,Sport,Talk-Show,War,Western,averageRating,numVotes,budget,revenue,isTopActor,isTopDirector
tt7025370,You,You,0,2018,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,24.0,20000000,207945075,False,False
tt7025388,Abigail,Abigail,0,2019,110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.9,4287.0,7000000,1940234,True,False
tt7026672,Every Day,Every Day,0,2018,97,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,20420.0,4900000,10421847,True,False
tt7027092,Budapest,Budapest,0,2018,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,2688.0,30000000,174600318,False,False
tt7027210,First Man,First Man,0,2017,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7,360.0,70000000,105702570,False,False
tt7029854,The Mansion,Le manoir,0,2017,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6,2499.0,90000000,182290266,False,False
tt7033498,Twelve,Twelve,0,2019,92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6.3,414.0,110000000,362744280,False,False
tt7040874,A Simple Favor,A Simple Favor,0,2018,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8,140527.0,20000000,97644617,True,True
tt7042232,Assassin,Assassin,0,2017,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,8.0,40000000,60462347,False,False
tt7044698,Angel,Angel,0,2018,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,53.0,170000000,404852543,False,False
tt7048622,The Insult,L'insulte,0,2017,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7,16070.0,30000000,51132598,False,False
tt7049420,With the wind,Le vent tourne,0,2018,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,451.0,4000000,402352579,True,True
tt7051624,For Love or Money,The Revenger: An Unromantic Comedy,0,2019,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,1420.0,30000000,11146270,True,False
tt7056958,Swimming,Schwimmen,0,2018,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,101.0,7800000,22441323,False,False
tt7057496,Forgotten,Gi-eok-ui bam,0,2017,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,27319.0,2800000,3600000,False,False
tt7069210,The Conjuring: The Devil Made Me Do It,The Conjuring: The Devil Made Me Do It,0,2021,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,93857.0,39000000,199166992,True,True
tt7070496,Meow,Miao xing ren,0,2017,109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.5,160.0,7000000,3646994,False,False
tt7073350,Sea Monsters,Sea Monsters,0,2017,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,47.0,90000000,199850315,False,False
tt7080422,Dragon Rider,Dragon Rider,0,2020,91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,1280.0,17830000,3175644,True,False
tt7085164,Thawed Carp,Karp otmorozhennyy,0,2017,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,421.0,1000000,173187,False,False
tt7085842,The End?,In un giorno la fine,0,2017,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,1772.0,32000000,126041322,False,False
tt7089978,Game Over,Game Over,0,2012,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.1,144.0,38000000,197011982,False,False
tt7094436,After,After,0,2017,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,17.0,14000000,19000000,False,False
tt7095654,Believer,Dokjeon,0,2018,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,2243.0,1500000,1309316,False,False
tt7097896,Venom: Let There Be Carnage,Venom: Let There Be Carnage,0,2021,97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6.3,68568.0,110000000,454000000,True,False
tt7099566,Alcatraz,Alcatraz,0,2018,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4,437.0,8000000,43004381,False,False
tt7106968,Ride,Ride,0,2018,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,306.0,23000000,36642838,False,False
tt7107576,Scary Stories,Scary Stories,0,2018,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1,464.0,25000000,95438172,False,False
tt7111402,Oxidan,Oxidan,0,2017,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,1594.0,10000,200000,False,False
tt7111818,The River,Ozen,0,2018,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,168.0,45000000,94216343,False,False
tt7121588,The One,Jue shi gao shou,0,2017,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,180.0,49000000,72689126,True,True
tt7122852,Let Me In,Let Me In,0,2017,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,16.0,20000000,24145613,False,False
tt7125498,Elephants,Elephants,0,2018,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.8,307.0,38000000,117094902,False,False
tt7125860,If Beale Street Could Talk,If Beale Street Could Talk,0,2018,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,46462.0,12000000,20572691,True,True
tt7126776,Stillwater,Stillwater,0,2018,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,629.0,20000000,15987232,False,False
